u,y
2.980621179708944, -0.001270084057017229
2.9416244079794334, 0.001470982268230614
2.9026276362499237, 0.003130337826296792
2.863630864520413, 0.016688511823371055
2.8603811335429548, 0.06500799187479966
2.887823306241498, 0.11870707113603096
2.9221260221146785, 0.1609065012854063
2.947659622651858, 0.19802758807751442
2.968086503081601, 0.23741349538296408
2.993620103618781, 0.28618228918598376
3.0282839007116786, 0.32698416895175475
3.0618644541454234, 0.3687065247976111
3.0952902584850035, 0.40233164889026973
3.120359611739689, 0.4452364630031984
3.1528569215142808, 0.48479641924267014
3.185354231288872, 0.5211112431805942
3.221101272040923, 0.5604517914826883
3.2568483127929744, 0.6002250240916558
3.2893456225675655, 0.6358908215692698
3.3250926633196167, 0.6723107507999715
3.3640894350491273, 0.7106746936276598
3.403086206778637, 0.74957949183894
3.439916491189841, 0.7868637677554071
3.4713305573052793, 0.827181943459887
3.5070775980573305, 0.8592750296218581
3.5395749078319225, 0.8998085255517938
3.575321948583974, 0.9367693101660866
3.611068989336024, 0.9776242535422361
3.6477445246530635, 1.015140470612811
3.6825630708401267, 1.0538174153819049
3.7150603806147178, 1.0975960436133887
3.741058228434391, 1.1377300295735133
3.7670560762540646, 1.1823260724482654
3.7898041930962787, 1.2284125334118352
3.8093025789610344, 1.270040003244718
3.826201180043822, 1.3116699257047535
3.844399673517593, 1.3551375301554227
3.858048543622922, 1.399258453163919
3.8753804421693703, 1.4403471114691704
3.8872961224200546, 1.4823062480280704
3.900295046329891, 1.5225336254314978
3.90354477730735, 1.5582270149645812
3.91236547567474, 1.6166310749788853
3.9262928941495643, 1.6778698080965646
3.932792356104483, 1.7327875407323772
3.9402203126243895, 1.7830337248673362
3.9425415490368607, 1.8145556773795557
3.943934290884343, 1.864158528652953
3.9577069602650035, 1.9194673148045396
3.9663729095382276, 1.9751672438905985
3.9717891278339934, 2.018322393861281
3.979371833448064, 2.0638552636638043
3.9847880517438297, 2.1054960185604314
3.993724811931843, 2.1597083398596193
3.9999534629719724, 2.214734499054145
4.003203193949432, 2.2634084177934195
4.010785899563503, 2.3247883503351674
4.019722659751516, 2.3937389808372176
4.010785899563503, 2.427821300909306
4.02522914835221, 2.471076105890204
4.031367529087411, 2.536513816379527
4.032450772746564, 2.5705866836177975
4.034183962601209, 2.612122741992839
4.0270345544507995, 2.668351403841823
4.015841036639551, 2.733940679024729
4.0042864376085845, 2.7964744619330046
3.9815383207663704, 2.8424145444874913
3.955540472946697, 2.8854370737545256
3.9165437012171873, 2.9200886077116595
3.8775469294876768, 2.9444638893805593
3.838550157758167, 2.9607263402955897
3.7995533860286566, 2.974825369676255
3.760556614299147, 2.982974989837416
3.7215598425696363, 2.990042899231395
3.6825630708401267, 2.9949473870910084
3.643566299110616, 2.9993110195670303
3.6045695273811056, 3.0031337966594616
3.565572755651596, 3.00587486298471
3.5265759839220854, 3.0069933631591845
3.4875792121925757, 3.0124387064023894
3.448582440463065, 3.012475495809681
3.4095856687335555, 3.0130531406005643
3.370588897004045, 3.017957628460178
3.3315921252745353, 3.0190761286346524
3.2925953535450248, 3.0191129180419445
3.253598581815515, 3.0213131289836017
3.2146018100860045, 3.022431629158076
3.175605038356495, 3.0257135508669157
3.1366082666269843, 3.025750340274208
3.0976114948974747, 3.0257871296814995
3.058614723167964, 3.0269056298559747
3.0196179514384545, 3.0291058407976315
