u,y
0.4912612187057157, 0.8576527838432808
0.45347189418989164, 0.857688434149428
0.42512990080302293, 0.8671491341431894
0.4345772319319794, 0.8860081460949543
0.47236655644780345, 0.9048404203171092
0.510155880963628, 0.9142387322751135
0.557392536608408, 0.9236281316565806
0.6140765233821448, 0.933008618461511
0.6802078412848369, 0.9423801926899045
0.7463391591875299, 0.9517517669182984
0.7968019628563769, 0.9672986932289507
0.8455479275182645, 0.9737429710729311
0.8877944302252339, 0.9801933804847933
0.926791201954744, 0.9861060002970059
0.9657879736842541, 0.9920186201092176
1.0047847454137642, 0.9990129506886123
1.0437815171432743, 1.008170702802372
1.0827782888727844, 1.0205735872176795
1.1217750606022945, 1.0383850254688998
1.1607718323318046, 1.065931860624763
1.1965188730838558, 1.1006210526279725
1.2290161828584474, 1.139531982407135
1.2568710198080975, 1.1782618557461237
1.2810118784977942, 1.217798789408096
1.3005102643625495, 1.2556402715558392
1.3200086502273043, 1.294563464470766
1.3395070360920596, 1.3334866573856918
1.3590054219568144, 1.3734915610678007
1.3785038078215697, 1.4167415970514567
1.3980021936863245, 1.4605324884187043
1.4149007947691123, 1.5028114373390498
1.4337492344383758, 1.5459539154027762
1.451297781716655, 1.5929917785419359
1.464336324988191, 1.6303196941203733
1.4832309872461031, 1.6680377180239039
1.5084930469199367, 1.735723642012672
1.5214919708297734, 1.780494204638266
1.5355741383987633, 1.8206123890369945
1.5485730623086, 1.8676545442736718
1.5572390115818242, 1.9109147995371318
1.570237935491661, 1.957956954773809
1.5854033467198037, 2.009323909223256
1.5916861599428918, 2.059509361638241
1.5962357833113343, 2.1039633820719263
1.6106274490686536, 2.161666800963429
1.6150842229805977, 2.2262870882934163
1.6236263729784903, 2.290532649231987
1.6222336311310077, 2.345701212265701
1.6308995804042323, 2.3765217937065612
1.6319828240633856, 2.423575190151022
1.6319828240633856, 2.451699670097769
1.6319828240633856, 2.490641257716341
1.6319828240633856, 2.5295828453349127
1.6352325550408444, 2.567169228710566
1.6319828240633856, 2.6074660205720575
1.6319828240633856, 2.6464076081906294
1.6293830392814181, 2.6909765444257037
1.6215836849355159, 2.742906019131925
1.6146509255169363, 2.7838012264704997
1.6059849762437122, 2.820803910131986
1.5913611868451458, 2.8576499577822867
1.570237935491661, 2.8933663406949277
1.5377406257170694, 2.927741315392384
1.4987438539875593, 2.9526574524448748
1.4597470822580492, 2.9694607587434962
1.420750310528539, 2.9813963665897965
1.381753538799029, 2.993872829819688
1.3427567670695189, 3.003645016131623
1.2942843646669815, 3.0078386110640727
1.247047709022201, 3.0078831739467566
1.1809163911195089, 3.007945561982514
1.1336797354747283, 3.0079901248651977
1.0864430798299478, 3.0174686500120322
1.0297590930562117, 3.0175221254712525
0.9636277751535192, 3.027018475771161
0.8974964572508266, 3.027080863806918
0.812470477090222, 3.027161076995749
0.7368918280585735, 3.027232377608043
0.6707605101558813, 3.0272947656438003
0.6046291922531883, 3.0273571536795574
0.557392536608408, 3.0368356788263924
0.510155880963628, 3.036880241709076
