200
0.000000000000   1.000000000000   0.000000000000
0.032143 1.000000 0.000000
0.064286 1.000000 0.000000
0.096429 1.000000 0.000000
0.128571 0.999596 0.000000
0.160714 0.997986 0.000000
0.192857 0.995107 0.000000
0.225000 0.990632 0.000000
0.257143 0.984221 0.000000
0.289286 0.975554 0.000000
0.321429 0.964286 0.000000
0.353571 0.950196 0.000000
0.385714 0.933479 0.000000
0.417857 0.914421 0.000000
0.450000 0.893325 0.000000
0.482143 0.870479 0.000000
0.514286 0.846186 0.000000
0.546732 0.820472 0.000000
0.579482 0.793564 0.000000
0.612543 0.765718 0.000000
0.645914 0.737179 0.000000
0.679600 0.708229 0.000000
0.713600 0.679154 0.000000
0.747925 0.650207 0.000000
0.782571 0.621418 0.000000
0.817543 0.592761 0.000000
0.852846 0.564193 0.000000
0.888478 0.535686 0.000000
0.924450 0.507196 0.000000
0.960761 0.478689 0.000000
0.997411 0.450121 0.000000
1.034407 0.421443 0.000000
1.071750 0.392607 0.000000
1.109446 0.363604 0.000000
1.147500 0.334555 0.000000
1.185911 0.305630 0.000000
1.224682 0.277009 0.000000
1.263818 0.248879 0.000000
1.303321 0.221439 0.000000
1.343200 0.194899 0.000000
1.383454 0.169478 0.000000
1.424086 0.145408 0.000000
1.465100 0.122910 0.000000
1.506504 0.102087 0.000000
1.548293 0.082998 0.000000
1.590479 0.065706 0.000000
1.633061 0.050275 0.000000
1.676046 0.036770 0.000000
1.719432 0.025260 0.000000
1.763229 0.015813 0.000000
1.807439 0.008501 0.000000
1.852064 0.003396 0.000000
1.897111 0.000575 0.000000
1.942582 0.000000 0.000000
1.988482 0.000000 0.000000
2.034814 0.000000 0.000000
2.081578 0.000000 0.000000
2.128789 0.000000 0.000000
2.176439 0.000000 0.000000
2.224543 0.000000 0.000000
2.273096 0.000000 0.000000
2.322111 0.000000 0.000000
2.371582 0.000000 0.000000
2.421521 0.000000 0.000000
2.471932 0.000000 0.000000
2.522818 0.000000 0.000000
2.574182 0.000000 0.000000
2.626029 0.000000 0.000000
2.678364 0.000000 0.000000
2.731196 0.000000 0.000000
2.784521 0.000000 0.000000
2.838350 0.000000 0.000000
2.892689 0.000000 0.000000
2.947536 0.000000 0.000000
3.002900 0.000000 0.000000
3.058786 0.000000 0.000000
3.115200 0.000000 0.000000
3.172143 0.000000 0.000000
3.229622 0.000000 0.000000
3.287643 0.000000 0.000000
3.346211 0.000000 0.000000
3.405332 0.000000 0.000000
3.465007 0.000000 0.000000
3.525246 0.000000 0.000000
3.586054 0.000000 0.000000
3.647432 0.000000 0.000000
3.709389 0.000000 0.000000
3.771929 0.000000 0.000000
3.835061 0.000000 0.000000
3.898782 0.000000 0.000000
3.963107 0.000000 0.000000
4.028039 0.000000 0.000000
4.093582 0.000000 0.000000
4.159739 0.000000 0.000000
4.226521 0.000000 0.000000
4.293932 0.000000 0.000000
4.361979 0.000000 0.000000
4.430668 0.000000 0.000000
4.500000 0.000000 0.000000
